backend,model,language,category,unconstrained_mode,constrained_exact,unconstrained_exact,exact_delta,constrained_pass_rate,unconstrained_pass_rate,pass_rate_delta,constrained_parse_error,unconstrained_parse_error,parse_error_delta,constrained_non_completable,unconstrained_non_completable
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_argument_order,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_choice,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_composition,unconstrained_raw,0.0,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,0.0,66.67
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_continuation,unconstrained_raw,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_contraction,unconstrained_raw,0.0,0.0,0.0,0.0,50.0,-50.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_elimination,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_eta,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_function_result,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_higher_order,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_identity,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_modus_ponens,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_pipeline,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_projection,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_repetition,unconstrained_raw,0.0,0.0,0.0,0.0,50.0,-50.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_substitution,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B,stlc,stlc:logic_weakening,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67
local,Qwen/Qwen3.5-4B-Base,fun,fun:boolean,unconstrained_raw,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,fun,fun:function,unconstrained_raw,0.0,0.0,0.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,fun,fun:function_application,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,fun,fun:function_arithmetic,unconstrained_raw,0.0,0.0,0.0,66.67,0.0,66.67,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,fun,fun:function_closure,unconstrained_raw,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,fun,fun:function_composition,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,fun,fun:function_constant,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,fun,fun:function_float,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,fun,fun:function_higher_order,unconstrained_raw,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,imp,imp:arithmetic,unconstrained_raw,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-4B-Base,imp,imp:assignment,unconstrained_raw,0.0,66.67,-66.67,0.0,66.67,-66.67,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B-Base,imp,imp:boolean,unconstrained_raw,0.0,50.0,-50.0,0.0,50.0,-50.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-4B-Base,imp,imp:branching,unconstrained_raw,0.0,0.0,0.0,16.67,0.0,16.67,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,imp,imp:loops,unconstrained_raw,0.0,0.0,0.0,0.0,25.0,-25.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-4B-Base,imp,imp:mixed_control,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-4B-Base,imp,imp:nested_branching,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,imp,imp:sequence,unconstrained_raw,0.0,0.0,0.0,33.33,66.67,-33.34,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B-Base,imp,imp:while_loop,unconstrained_raw,0.0,33.33,-33.33,33.33,66.67,-33.34,0.0,0.0,0.0,0.0,33.33
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_application,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_argument_order,unconstrained_raw,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_choice,unconstrained_raw,0.0,50.0,-50.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_composition,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.33
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_continuation,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_contraction,unconstrained_raw,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_elimination,unconstrained_raw,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_eta,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_function_result,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_higher_order,unconstrained_raw,0.0,0.0,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,66.67
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_identity,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_modus_ponens,unconstrained_raw,0.0,50.0,-50.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_pipeline,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_projection,unconstrained_raw,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_repetition,unconstrained_raw,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_substitution,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-4B-Base,stlc,stlc:logic_weakening,unconstrained_raw,0.0,33.33,-33.33,66.67,33.33,33.34,0.0,0.0,0.0,0.0,66.67
local,Qwen/Qwen3.5-9B,fun,fun:boolean,unconstrained_raw,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,fun,fun:function,unconstrained_raw,0.0,25.0,-25.0,0.0,50.0,-50.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-9B,fun,fun:function_application,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-9B,fun,fun:function_arithmetic,unconstrained_raw,0.0,41.67,-41.67,25.0,50.0,-25.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-9B,fun,fun:function_closure,unconstrained_raw,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B,fun,fun:function_composition,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B,fun,fun:function_constant,unconstrained_raw,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,fun,fun:function_float,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B,fun,fun:function_higher_order,unconstrained_raw,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-9B,imp,imp:arithmetic,unconstrained_raw,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,imp,imp:assignment,unconstrained_raw,0.0,66.67,-66.67,0.0,66.67,-66.67,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,imp,imp:boolean,unconstrained_raw,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,imp,imp:branching,unconstrained_raw,0.0,0.0,0.0,16.67,0.0,16.67,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B,imp,imp:loops,unconstrained_raw,0.0,0.0,0.0,75.0,50.0,25.0,0.0,0.0,0.0,0.0,25.0
local,Qwen/Qwen3.5-9B,imp,imp:mixed_control,unconstrained_raw,0.0,0.0,0.0,0.0,50.0,-50.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-9B,imp,imp:nested_branching,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B,imp,imp:sequence,unconstrained_raw,0.0,0.0,0.0,66.67,66.67,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,imp,imp:while_loop,unconstrained_raw,0.0,66.67,-66.67,33.33,100.0,-66.67,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_application,unconstrained_raw,0.0,0.0,0.0,0.0,50.0,-50.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_argument_order,unconstrained_raw,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_choice,unconstrained_raw,0.0,50.0,-50.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_composition,unconstrained_raw,0.0,16.67,-16.67,0.0,66.67,-66.67,0.0,0.0,0.0,0.0,16.67
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_continuation,unconstrained_raw,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_contraction,unconstrained_raw,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_elimination,unconstrained_raw,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_eta,unconstrained_raw,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_function_result,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_higher_order,unconstrained_raw,0.0,100.0,-100.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_identity,unconstrained_raw,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_modus_ponens,unconstrained_raw,0.0,50.0,-50.0,50.0,100.0,-50.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_pipeline,unconstrained_raw,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_projection,unconstrained_raw,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_repetition,unconstrained_raw,0.0,50.0,-50.0,50.0,100.0,-50.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_substitution,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B,stlc,stlc:logic_weakening,unconstrained_raw,0.0,100.0,-100.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B-Base,fun,fun:boolean,unconstrained_raw,0.0,0.0,0.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-9B-Base,fun,fun:function,unconstrained_raw,0.0,25.0,-25.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-9B-Base,fun,fun:function_application,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B-Base,fun,fun:function_arithmetic,unconstrained_raw,0.0,16.67,-16.67,83.33,16.67,66.66,0.0,0.0,0.0,0.0,83.33
local,Qwen/Qwen3.5-9B-Base,fun,fun:function_closure,unconstrained_raw,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B-Base,fun,fun:function_composition,unconstrained_raw,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B-Base,fun,fun:function_constant,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B-Base,fun,fun:function_float,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B-Base,fun,fun:function_higher_order,unconstrained_raw,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B-Base,imp,imp:arithmetic,unconstrained_raw,0.0,0.0,0.0,0.0,50.0,-50.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B-Base,imp,imp:assignment,unconstrained_raw,0.0,100.0,-100.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B-Base,imp,imp:boolean,unconstrained_raw,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B-Base,imp,imp:branching,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B-Base,imp,imp:loops,unconstrained_raw,0.0,0.0,0.0,75.0,0.0,75.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B-Base,imp,imp:mixed_control,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B-Base,imp,imp:nested_branching,unconstrained_raw,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B-Base,imp,imp:sequence,unconstrained_raw,0.0,0.0,0.0,66.67,66.67,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B-Base,imp,imp:while_loop,unconstrained_raw,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_application,unconstrained_raw,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_argument_order,unconstrained_raw,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_choice,unconstrained_raw,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_composition,unconstrained_raw,0.0,0.0,0.0,33.33,16.67,16.66,0.0,0.0,0.0,0.0,66.67
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_continuation,unconstrained_raw,0.0,0.0,0.0,0.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_contraction,unconstrained_raw,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_elimination,unconstrained_raw,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_eta,unconstrained_raw,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_function_result,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_higher_order,unconstrained_raw,0.0,33.33,-33.33,100.0,33.33,66.67,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_identity,unconstrained_raw,0.0,0.0,0.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_modus_ponens,unconstrained_raw,0.0,50.0,-50.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_pipeline,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_projection,unconstrained_raw,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_repetition,unconstrained_raw,0.0,50.0,-50.0,100.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_substitution,unconstrained_raw,0.0,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0
local,Qwen/Qwen3.5-9B-Base,stlc,stlc:logic_weakening,unconstrained_raw,0.0,100.0,-100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fun,fun:boolean,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fun,fun:function,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fun,fun:function_application,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fun,fun:function_arithmetic,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fun,fun:function_closure,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fun,fun:function_composition,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fun,fun:function_constant,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fun,fun:function_float,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,fun,fun:function_higher_order,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,imp,imp:arithmetic,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,imp,imp:assignment,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,imp,imp:boolean,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,imp,imp:branching,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,imp,imp:loops,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,imp,imp:mixed_control,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,imp,imp:nested_branching,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,imp,imp:sequence,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,imp,imp:while_loop,unconstrained_raw,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_application,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_argument_order,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_choice,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_composition,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_continuation,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_contraction,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_elimination,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_eta,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_function_result,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_higher_order,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_identity,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_modus_ponens,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_pipeline,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_projection,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_repetition,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_substitution,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
local,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,stlc,stlc:logic_weakening,unconstrained_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
